url,local_path,filename,type,mime_type,dimensions,width,height,file_size,page_first_seen,alt_text,hash,is_duplicate
https://www.freyerinternational.com//images/Awards/2.jpg,freyer-forensics/raw/images/2.jpg,2.jpg,images,image/jpeg,1024x724,1024,724,148421,https://www.freyerinternational.com//awards,,033b829ba41801d9720710034693c6d03d649b1f911e7d3b2cbfd9e7efc5afb1,False
https://www.freyerinternational.com//images/Awards/3.jpg,freyer-forensics/raw/images/3.jpg,3.jpg,images,image/jpeg,1674x2402,1674,2402,883258,https://www.freyerinternational.com//awards,,7611c4a8d5eb9b8db2390f8b27000d1aebc51dc316c778b1a414e7e15b1a06b2,False
https://www.freyerinternational.com//images/Awards/4.jpg,freyer-forensics/raw/images/4.jpg,4.jpg,images,image/jpeg,523x674,523,674,50160,https://www.freyerinternational.com//awards,,da708e0594ae2511991c160a461c97fcc0ef863de84af04e1e1839de05ee9946,False
https://www.freyerinternational.com//images/Awards/5.jpg,freyer-forensics/raw/images/5.jpg,5.jpg,images,image/jpeg,2180x1698,2180,1698,936252,https://www.freyerinternational.com//awards,,606535f14e1f471ad2bec66266b10b8e3c26ab702ba74d328ddbe688645ac9fd,False
https://www.freyerinternational.com//images/project/1.jpg,freyer-forensics/raw/images/1.jpg,1.jpg,images,image/jpeg,640x481,640,481,59453,https://www.freyerinternational.com//project,,80c91b377117127bc6199d8367fe8902bf8159fc0f4787e63b3902c36306ba96,False
https://www.freyerinternational.com//images/project/2.1.jpg,freyer-forensics/raw/images/2.1.jpg,2.1.jpg,images,image/jpeg,792x618,792,618,141389,https://www.freyerinternational.com//project,,968453b4cee9c1fc6c0598c4f318785c9e3cfd18eaf882cb8d9eca10c7775135,False
https://www.freyerinternational.com//images/project/2.2.jpg,freyer-forensics/raw/images/2.2.jpg,2.2.jpg,images,image/jpeg,792x618,792,618,114698,https://www.freyerinternational.com//project,,4c2b5dd37a8fc862b59a1c062faa52e59f1b1d76106216d7d2688c4648c95b10,False
https://www.freyerinternational.com//images/project/2.3.jpg,freyer-forensics/raw/images/2.3.jpg,2.3.jpg,images,image/jpeg,792x618,792,618,128200,https://www.freyerinternational.com//project,,7e5df8e7823ce9a04dec21a056e646ccf26ef8013bdd93e9b894522c087ae205,False
https://www.freyerinternational.com//images/project/2.4.jpg,freyer-forensics/raw/images/2.4.jpg,2.4.jpg,images,image/jpeg,792x618,792,618,107170,https://www.freyerinternational.com//project,,20c31e595923ad7d3670fd61a5fbffc60117f7fb8474e4bdc5cc4cc970cf4595,False
https://www.freyerinternational.com//images/project/2.5.jpg,freyer-forensics/raw/images/2.5.jpg,2.5.jpg,images,image/jpeg,792x618,792,618,99397,https://www.freyerinternational.com//project,,97f489ecb8d3e10fce9ad0bf6d1a1e2526edd92f96a174e02ccb5b58f8dc4934,False
https://www.freyerinternational.com//images/project/2.6.jpg,freyer-forensics/raw/images/2.6.jpg,2.6.jpg,images,image/jpeg,792x618,792,618,98583,https://www.freyerinternational.com//project,,79ebf9b218674b864ad3c9fd7f6f6e2ec85f896bed1bf45f342d5501dace91ab,False
https://www.freyerinternational.com//images/project/3.jpg,freyer-forensics/raw/images/3.jpg,3.jpg,images,image/jpeg,418x464,418,464,61685,https://www.freyerinternational.com//project,,19442a3c91f6e89d6bf2943f1b9dcde8b35cb3ec136899d3ff07b654dbeb2dff,False
https://www.freyerinternational.com//images/project/4.jpg,freyer-forensics/raw/images/4.jpg,4.jpg,images,image/jpeg,1238x691,1238,691,185393,https://www.freyerinternational.com//project,,5a9f2221f6d59096d43906343da25bb08a70ded868dff009194fca94559ab446,False
https://www.freyerinternational.com//images/project/5.1.jpg,freyer-forensics/raw/images/5.1.jpg,5.1.jpg,images,image/jpeg,418x464,418,464,58683,https://www.freyerinternational.com//project,,a09723a94857d1488d8c0d523d24d86b3429ea9d07f3d828c52ce75b6f0e8c26,False
https://www.freyerinternational.com//images/project/5.2.jpg,freyer-forensics/raw/images/5.2.jpg,5.2.jpg,images,image/jpeg,418x464,418,464,64721,https://www.freyerinternational.com//project,,c566757962581b5c13b7b38ed90663f57f134008b87e5a83418938450c2714fd,False
https://www.freyerinternational.com//images/project/5.3.jpg,freyer-forensics/raw/images/5.3.jpg,5.3.jpg,images,image/jpeg,1280x904,1280,904,256156,https://www.freyerinternational.com//project,,4afb9ae46ad37a0122c2c154f6c00b5e5ec9d53110004edfcfbb1a8e2d5d2c30,False
https://www.freyerinternational.com//images/project/6.1.jpg,freyer-forensics/raw/images/6.1.jpg,6.1.jpg,images,image/jpeg,918x790,918,790,161415,https://www.freyerinternational.com//project,,7089eeb1c4cb4d1ffa17f9df8d7441a1267da617b73e0d7723944262b2dda6e5,False
https://www.freyerinternational.com//images/project/6.2.jpg,freyer-forensics/raw/images/6.2.jpg,6.2.jpg,images,image/jpeg,800x790,800,790,162625,https://www.freyerinternational.com//project,,a81901d09d77ab5a7e3f2242bdf21fbcd7c2ee3367cd189ea94b33f515853391,False
https://www.freyerinternational.com//images/project/6.3.jpg,freyer-forensics/raw/images/6.3.jpg,6.3.jpg,images,image/jpeg,799x790,799,790,118824,https://www.freyerinternational.com//project,,fbaff7d717c1e13ae51423a7840e0424d9015ecd691b724cf08b9b822f2c03eb,False
https://www.freyerinternational.com//images/project/6.4.jpg,freyer-forensics/raw/images/6.4.jpg,6.4.jpg,images,image/jpeg,827x790,827,790,162547,https://www.freyerinternational.com//project,,cf99bb6601a4973d75288150fdf2f7e58dd90e86049556e5e6d8c9eaeacae697,False
https://www.freyerinternational.com//images/project/7.1.jpg,freyer-forensics/raw/images/7.1.jpg,7.1.jpg,images,image/jpeg,874x977,874,977,219629,https://www.freyerinternational.com//project,,5cf82cefa96d06075171fd29416f185c2b3e88ab06e323162d862cb7dff964fe,False
https://www.freyerinternational.com//images/project/7.2.jpg,freyer-forensics/raw/images/7.2.jpg,7.2.jpg,images,image/jpeg,870x970,870,970,196690,https://www.freyerinternational.com//project,,a5e23600f7b55ca72db1580db4e32619a217f248883e7f6b560e73f0a7643716,False
https://www.freyerinternational.com//images/project/7.3.jpg,freyer-forensics/raw/images/7.3.jpg,7.3.jpg,images,image/jpeg,662x448,662,448,100447,https://www.freyerinternational.com//project,,18adeda25aa292dd089dea8ef0507a553ada91450a112dc566cab8845ad91f4f,False
https://www.freyerinternational.com//images/project/7.4.jpg,freyer-forensics/raw/images/7.4.jpg,7.4.jpg,images,image/jpeg,658x485,658,485,116063,https://www.freyerinternational.com//project,,961e00285de53366d386cfb892783189237e3aadaf5d9e92c2de7a3c44dd48cb,False
https://www.freyerinternational.com//images/project/7.5.jpg,freyer-forensics/raw/images/7.5.jpg,7.5.jpg,images,image/jpeg,880x487,880,487,72633,https://www.freyerinternational.com//project,,1b370efc154ca9f4db6ef156899cb68ec59e9da3e3c28cfa69a979b0cad9819a,False
